"iso_2","iso_3","country","year","beer_excise_hl_usd","beer_low_alc_usd","still_wine_excise_hl_usd","sparkling_wine_excise_hl_usd","low_alc_excise_hl_usd","alc_excise_hl_usd","small_dist_rate","cigarette_excise_1k_usd","cigarette_excise_1k_pct_rsp","cigar_excise_1k_usd","cigar_excise_1k_pct_rsp","roll_tob_excise_1kg_usd","roll_tob_excise_1kg_pct_rsp","cig_pack_ex_tax_price_usd","cig_pack_specific_pct_rsp","cig_pack_ad_val_pct_rsp","cig_pack_sales_pct_rsp","cig_pack_total_tax_pct_rsp","cig_pack_price_usd","unleaded_total_tax_pct_price","unleaded_excise_pct_price","diesel_total_tax_pct_price","diesel_excise_pct_price","household_fuel_total_tax_pct_price","household_fuel_excise_pct_price"
"GR","GRC","Greece",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.7145664950672,44.3597277853898,49.2097554155693,29.8548979144533,47.7581659565835,28.4033272469061
"GR","GRC","Greece",2020,14.0449438202247,NA,0,0,0,2752.80898876404,0,92.6966292134831,26,0,35,191.011235955056,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HU","HUN","Hungary",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11157276275084,27.26,25,21.26,73.52,4.19778233667234,NA,NA,NA,NA,NA,NA
"HU","HUN","Hungary",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08356901567545,27.26,25,21.26,73.52,4.09202800481666,NA,NA,NA,NA,NA,NA
"HU","HUN","Hungary",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.6759773953376,34.4161348756526,51.9769288457526,30.7170863260675,51.8109454723541,30.5511029526691
"HU","HUN","Hungary",2018,5.90206936753133,NA,0,59.9679393762751,0,1214.60580005829,1,57.1990673273098,25,0,14,51.0055377440979,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HU","HUN","Hungary",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.343552899918,32.083710380233,49.5177663633115,28.2566718138435,50.0295129205245,28.7696704008395
"HU","HUN","Hungary",2020,5.57352232849377,NA,0,56.6297392142022,0,1146.99305029932,1,70.5291405766187,23,0,14,69.1529622239042,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IE","IRL","Ireland",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.64703494926719,50.36,9.2,18.7,78.26,12.1758737316798,NA,NA,NA,NA,NA,NA
"IE","IRL","Ireland",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.59725663716814,50.36,9.2,18.7,78.26,11.9469026548673,NA,NA,NA,NA,NA,NA
"IE","IRL","Ireland",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.4202576342117,42.7210706423418,56.4347387659923,37.7355517741224,27.6882698605638,15.7939967328105
