"iso_2","iso_3","country","tobacco_excise_type","tobacco_excise","oecd_avg_excise"
"NZ","NZL","New Zealand","cigarette_excise_1k_usd",NA,131.144915096729
"PL","POL","Poland","cigarette_excise_1k_usd",59.4010416666667,131.144915096729
"PT","PRT","Portugal","cigarette_excise_1k_usd",108,131.144915096729
"SE","SWE","Sweden","cigarette_excise_1k_usd",169.133192389006,131.144915096729
"SI","SVN","Slovenia","cigarette_excise_1k_usd",82.7415730337079,131.144915096729
"SK","SVK","Slovak Republic","cigarette_excise_1k_usd",72.0224719101124,131.144915096729
"TR","TUR","Turkey","cigarette_excise_1k_usd",85.5590828924162,131.144915096729
"US","USA","United States","cigarette_excise_1k_usd",141,131.144915096729
"AT","AUT","Austria","roll_tob_excise_1kg_usd",0,139.545409874224
"AU","AUS","Australia","roll_tob_excise_1kg_usd",897.0625,139.545409874224
"BE","BEL","Belgium","roll_tob_excise_1kg_usd",47.5842696629214,139.545409874224
"CA","CAN","Canada","roll_tob_excise_1kg_usd",114.556390977444,139.545409874224
"CH","CHE","Switzerland","roll_tob_excise_1kg_usd",38.3838383838384,139.545409874224
"CL","CHL","Chile","roll_tob_excise_1kg_usd",0,139.545409874224
"CO","COL","Colombia","roll_tob_excise_1kg_usd",58.8265774209575,139.545409874224
"CZ","CZE","Czech Republic","roll_tob_excise_1kg_usd",107.283035324902,139.545409874224
"DE","DEU","Germany","roll_tob_excise_1kg_usd",54.4831460674157,139.545409874224
"DK","DNK","Denmark","roll_tob_excise_1kg_usd",202.533733133433,139.545409874224
"EE","EST","Estonia","roll_tob_excise_1kg_usd",100.707865168539,139.545409874224
"ES","ESP","Spain","roll_tob_excise_1kg_usd",26.4044943820225,139.545409874224
"FI","FIN","Finland","roll_tob_excise_1kg_usd",52.247191011236,139.545409874224
"FR","FRA","France","roll_tob_excise_1kg_usd",85.6179775280899,139.545409874224
"GB","GBR","United Kingdom","roll_tob_excise_1kg_usd",300.833333333333,139.545409874224
"GR","GRC","Greece","roll_tob_excise_1kg_usd",191.011235955056,139.545409874224
"HU","HUN","Hungary","roll_tob_excise_1kg_usd",69.1529622239042,139.545409874224
"IE","IRL","Ireland","roll_tob_excise_1kg_usd",426.775280898876,139.545409874224
"IL","ISR","Israel","roll_tob_excise_1kg_usd",319.674157303371,139.545409874224
"IS","ISL","Iceland","roll_tob_excise_1kg_usd",234.075524019248,139.545409874224
"IT","ITA","Italy","roll_tob_excise_1kg_usd",0,139.545409874224
"JP","JPN","Japan","roll_tob_excise_1kg_usd",112.319970644895,139.545409874224
"KR","KOR","Korea","roll_tob_excise_1kg_usd",88.5456885456885,139.545409874224
"LT","LTU","Lithuania","roll_tob_excise_1kg_usd",77.0786516853933,139.545409874224
"LU","LUX","Luxembourg","roll_tob_excise_1kg_usd",18.5393258426966,139.545409874224
"LV","LVA","Latvia","roll_tob_excise_1kg_usd",84.2696629213483,139.545409874224
"MX","MEX","Mexico","roll_tob_excise_1kg_usd",NA,139.545409874224
"NL","NLD","Netherlands","roll_tob_excise_1kg_usd",175.247191011236,139.545409874224
"NO","NOR","Norway","roll_tob_excise_1kg_usd",304.545454545455,139.545409874224
"NZ","NZL","New Zealand","roll_tob_excise_1kg_usd",NA,139.545409874224
"PL","POL","Poland","roll_tob_excise_1kg_usd",40.546875,139.545409874224
"PT","PRT","Portugal","roll_tob_excise_1kg_usd",91.0112359550562,139.545409874224
"SE","SWE","Sweden","roll_tob_excise_1kg_usd",206.871035940803,139.545409874224
"SI","SVN","Slovenia","roll_tob_excise_1kg_usd",46.62,139.545409874224
"SK","SVK","Slovak Republic","roll_tob_excise_1kg_usd",86.1797752808989,139.545409874224
"TR","TUR","Turkey","roll_tob_excise_1kg_usd",85.5555555555556,139.545409874224
"US","USA","United States","roll_tob_excise_1kg_usd",NA,139.545409874224
"AT","AUT","Austria","cigar_excise_1k_pct_rsp",13,13.9810714285714
"AU","AUS","Australia","cigar_excise_1k_pct_rsp",0,13.9810714285714
"BE","BEL","Belgium","cigar_excise_1k_pct_rsp",10,13.9810714285714
"CA","CAN","Canada","cigar_excise_1k_pct_rsp",NA,13.9810714285714
"CH","CHE","Switzerland","cigar_excise_1k_pct_rsp",1,13.9810714285714
"CL","CHL","Chile","cigar_excise_1k_pct_rsp",52.6,13.9810714285714
"CO","COL","Colombia","cigar_excise_1k_pct_rsp",10,13.9810714285714
"CZ","CZE","Czech Republic","cigar_excise_1k_pct_rsp",NA,13.9810714285714
"DE","DEU","Germany","cigar_excise_1k_pct_rsp",1.47,13.9810714285714
"DK","DNK","Denmark","cigar_excise_1k_pct_rsp",10,13.9810714285714
"EE","EST","Estonia","cigar_excise_1k_pct_rsp",10,13.9810714285714
"ES","ESP","Spain","cigar_excise_1k_pct_rsp",15.8,13.9810714285714
