"iso_2","iso_3","country","alcohol_type","excise_liter_usd","oecd_avg_liter_usd"
"LV","LVA","Latvia","wine_sparkling",1.13483146067416,2.01066118287273
"MX","MEX","Mexico","wine_sparkling",NA,2.01066118287273
"NL","NLD","Netherlands","wine_sparkling",0.992134831460674,2.01066118287273
"NO","NOR","Norway","wine_sparkling",6.96818181818182,2.01066118287273
"NZ","NZL","New Zealand","wine_sparkling",1.91144736842105,2.01066118287273
"PL","POL","Poland","wine_sparkling",0.453125,2.01066118287273
"PT","PRT","Portugal","wine_sparkling",0,2.01066118287273
"SE","SWE","Sweden","wine_sparkling",NA,2.01066118287273
"SI","SVN","Slovenia","wine_sparkling",0,2.01066118287273
"SK","SVK","Slovak Republic","wine_sparkling",0.894943820224719,2.01066118287273
"TR","TUR","Turkey","wine_sparkling",11.9766137566138,2.01066118287273
"US","USA","United States","wine_sparkling",1.1,2.01066118287273
"AT","AUT","Austria","wine_still",0,1.12817785046016
"AU","AUS","Australia","wine_still",NA,1.12817785046016
"BE","BEL","Belgium","wine_still",0.841685393258427,1.12817785046016
"CA","CAN","Canada","wine_still",0.490977443609023,1.12817785046016
"CH","CHE","Switzerland","wine_still",0,1.12817785046016
"CL","CHL","Chile","wine_still",NA,1.12817785046016
"CO","COL","Colombia","wine_still",NA,1.12817785046016
"CZ","CZE","Czech Republic","wine_still",0,1.12817785046016
"DE","DEU","Germany","wine_still",0,1.12817785046016
"DK","DNK","Denmark","wine_still",1.68815592203898,1.12817785046016
"EE","EST","Estonia","wine_still",1.66089887640449,1.12817785046016
"ES","ESP","Spain","wine_still",0,1.12817785046016
"FI","FIN","Finland","wine_still",4.46067415730337,1.12817785046016
"FR","FRA","France","wine_still",0.0429213483146067,1.12817785046016
"GB","GBR","United Kingdom","wine_still",3.70064102564103,1.12817785046016
"GR","GRC","Greece","wine_still",0,1.12817785046016
"HU","HUN","Hungary","wine_still",0,1.12817785046016
"IE","IRL","Ireland","wine_still",4.77348314606742,1.12817785046016
"IL","ISR","Israel","wine_still",0,1.12817785046016
"IS","ISL","Iceland","wine_still",NA,1.12817785046016
"IT","ITA","Italy","wine_still",0,1.12817785046016
"JP","JPN","Japan","wine_still",0.733272227314391,1.12817785046016
"KR","KOR","Korea","wine_still",NA,1.12817785046016
"LT","LTU","Lithuania","wine_still",1.85022471910112,1.12817785046016
"LU","LUX","Luxembourg","wine_still",0,1.12817785046016
"LV","LVA","Latvia","wine_still",1.13483146067416,1.12817785046016
"MX","MEX","Mexico","wine_still",NA,1.12817785046016
"NL","NLD","Netherlands","wine_still",0.992134831460674,1.12817785046016
"NO","NOR","Norway","wine_still",6.96818181818182,1.12817785046016
"NZ","NZL","New Zealand","wine_still",1.91144736842105,1.12817785046016
"PL","POL","Poland","wine_still",0.453125,1.12817785046016
"PT","PRT","Portugal","wine_still",0,1.12817785046016
"SE","SWE","Sweden","wine_still",NA,1.12817785046016
"SI","SVN","Slovenia","wine_still",0,1.12817785046016
"SK","SVK","Slovak Republic","wine_still",0,1.12817785046016
"TR","TUR","Turkey","wine_still",1.77268077601411,1.12817785046016
"US","USA","United States","wine_still",0.37,1.12817785046016
