"iso_2","iso_3","country","fuel_type","total_tax_pct","oecd_avg_total_tax_pct"
"NL","NLD","Netherlands","household_fuel_total_tax_pct_price",71.8980577820231,32.8024097869023
"NO","NOR","Norway","household_fuel_total_tax_pct_price",45.062656641604,32.8024097869023
"NZ","NZL","New Zealand","household_fuel_total_tax_pct_price",NA,32.8024097869023
"PL","POL","Poland","household_fuel_total_tax_pct_price",25.5855647274983,32.8024097869023
"PT","PRT","Portugal","household_fuel_total_tax_pct_price",44.5988444379434,32.8024097869023
"SE","SWE","Sweden","household_fuel_total_tax_pct_price",57.1038549743366,32.8024097869023
"SI","SVN","Slovenia","household_fuel_total_tax_pct_price",41.6342412451362,32.8024097869023
"SK","SVK","Slovak Republic","household_fuel_total_tax_pct_price",NA,32.8024097869023
"TR","TUR","Turkey","household_fuel_total_tax_pct_price",35.7511384162764,32.8024097869023
"US","USA","United States","household_fuel_total_tax_pct_price",4.22705314009662,32.8024097869023
"AT","AUT","Austria","unleaded_total_tax_pct_price",56.0479523528929,53.2350560120198
"AU","AUS","Australia","unleaded_total_tax_pct_price",35.9270672829995,53.2350560120198
"BE","BEL","Belgium","unleaded_total_tax_pct_price",58.089839687177,53.2350560120198
"CA","CAN","Canada","unleaded_total_tax_pct_price",31.9712666666667,53.2350560120198
"CH","CHE","Switzerland","unleaded_total_tax_pct_price",54.524217327923,53.2350560120198
"CL","CHL","Chile","unleaded_total_tax_pct_price",48.9069458526544,53.2350560120198
"CO","COL","Colombia","unleaded_total_tax_pct_price",21.9795707830231,53.2350560120198
"CZ","CZE","Czech Republic","unleaded_total_tax_pct_price",57.9272329137643,53.2350560120198
"DE","DEU","Germany","unleaded_total_tax_pct_price",61.2943882160991,53.2350560120198
"DK","DNK","Denmark","unleaded_total_tax_pct_price",59.3174348592012,53.2350560120198
"EE","EST","Estonia","unleaded_total_tax_pct_price",63.946117274168,53.2350560120198
"ES","ESP","Spain","unleaded_total_tax_pct_price",53.8037719855902,53.2350560120198
"FI","FIN","Finland","unleaded_total_tax_pct_price",65.3701149167495,53.2350560120198
"FR","FRA","France","unleaded_total_tax_pct_price",62.5196556213087,53.2350560120198
"GB","GBR","United Kingdom","unleaded_total_tax_pct_price",63.0719582312337,53.2350560120198
"GR","GRC","Greece","unleaded_total_tax_pct_price",63.7145664950672,53.2350560120198
"HU","HUN","Hungary","unleaded_total_tax_pct_price",53.343552899918,53.2350560120198
"IE","IRL","Ireland","unleaded_total_tax_pct_price",62.3,53.2350560120198
"IL","ISR","Israel","unleaded_total_tax_pct_price",64.2620823767899,53.2350560120198
"IS","ISL","Iceland","unleaded_total_tax_pct_price",59.6823164377444,53.2350560120198
"IT","ITA","Italy","unleaded_total_tax_pct_price",64.3024338101076,53.2350560120198
"JP","JPN","Japan","unleaded_total_tax_pct_price",46.9934139375412,53.2350560120198
"KR","KOR","Korea","unleaded_total_tax_pct_price",50.8437900727234,53.2350560120198
"LT","LTU","Lithuania","unleaded_total_tax_pct_price",55.1109177903436,53.2350560120198
"LU","LUX","Luxembourg","unleaded_total_tax_pct_price",51.4476727929027,53.2350560120198
"LV","LVA","Latvia","unleaded_total_tax_pct_price",56.9656503400725,53.2350560120198
"MX","MEX","Mexico","unleaded_total_tax_pct_price",13.7931034482759,53.2350560120198
"NL","NLD","Netherlands","unleaded_total_tax_pct_price",64.9273313868795,53.2350560120198
"NO","NOR","Norway","unleaded_total_tax_pct_price",60.6576035409421,53.2350560120198
"NZ","NZL","New Zealand","unleaded_total_tax_pct_price",46.3828566506231,53.2350560120198
"PL","POL","Poland","unleaded_total_tax_pct_price",52.1465166270645,53.2350560120198
"PT","PRT","Portugal","unleaded_total_tax_pct_price",61.7949483180497,53.2350560120198
"SE","SWE","Sweden","unleaded_total_tax_pct_price",61.760686477038,53.2350560120198
"SI","SVN","Slovenia","unleaded_total_tax_pct_price",60.1399058217224,53.2350560120198
"SK","SVK","Slovak Republic","unleaded_total_tax_pct_price",55.8554437328454,53.2350560120198
"TR","TUR","Turkey","unleaded_total_tax_pct_price",50.0119417907538,53.2350560120198
"US","USA","United States","unleaded_total_tax_pct_price",18.5628037258748,53.2350560120198
