"year","vat_threshold_avg","threshold_observations"
2007,27427.3819733031,29
2010,32780.476412113,32
2011,31774.010435397,33
2012,34713.5698517569,33
2013,35841.1597711281,33
2014,38055.0973780303,35
2016,39434.7722035278,14
2018,46763.0059744433,35
2020,49100.1582137396,36
