"year","consumption_pct_rev","vat_pct_rev","sales_pct_rev","excise_pct_rev","pct_rev_observations"
"1975",32.81952,8.83217391304348,4.79026086956522,10.4952,25
"1976",31.480375,9.37572727272727,3.67440909090909,10.5265416666667,24
"1977",31.1120833333333,9.83390909090909,3.52218181818182,10.1296666666667,24
"1978",31.0945,10.8071818181818,3.207,9.76704166666667,24
"1979",31.06975,10.8982272727273,3.23268181818182,10.0437083333333,24
"1980",32.5411153846154,10.6740416666667,4.24716666666667,9.80392307692308,26
"1981",32.5850769230769,10.6829583333333,4.348,9.87861538461538,26
"1982",32.9678076923077,10.606125,4.36341666666667,9.98492307692308,26
"1983",33.7805,10.8436666666667,4.514375,10.1121923076923,26
"1984",33.7938076923077,10.9920833333333,4.54383333333333,10.0521538461538,26
"1985",33.7069230769231,11.30812,4.48604,9.53107692307692,26
"1986",33.7005769230769,12.82196,3.96052,9.75242307692308,26
"1987",34.0110384615385,14.43604,3.23892,9.20584615384615,26
"1988",33.1326923076923,14.57396,3.34264,8.70061538461538,26
"1989",32.3835384615385,14.1443846153846,3.05438461538462,8.29796153846154,26
"1990",33.2466785714286,16.9383571428571,1.38128571428571,8.41746428571428,28
"1991",32.7208666666667,16.506,0.886166666666667,8.3514,30
"1992",33.0481,16.5253333333333,0.892,8.687,30
"1993",32.9658387096774,16.9978387096774,0.812548387096774,8.68435483870968,31
"1994",33.4581290322581,17.6224838709677,0.835387096774194,9.05603225806452,31
"1995",34.0512432432432,18.1945135135135,0.908081081081081,8.35654054054054,37
"1996",34.1015945945946,18.2675945945946,0.878297297297297,8.47956756756757,37
"1997",33.8561351351351,18.4598378378378,0.842621621621622,8.36875675675676,37
"1998",33.7742702702703,18.282972972973,0.847702702702703,8.65651351351351,37
"1999",33.8835405405405,18.7751351351351,0.83772972972973,9.03545945945946,37
"2000",33.5632702702703,19.5595135135135,0.624243243243243,8.68932432432432,37
"2001",33.3464054054054,19.5454324324324,0.596027027027027,8.73554054054054,37
"2002",33.8240810810811,19.8641891891892,0.614108108108108,8.95724324324324,37
"2003",34.0411081081081,20.0508918918919,0.628243243243243,8.9975945945946,37
"2004",33.9049459459459,20.1250540540541,0.634567567567568,8.86494594594595,37
"2005",33.553027027027,20.1533783783784,0.622648648648649,8.58505405405405,37
"2006",32.965,20.0711621621622,0.610972972972973,8.08978378378378,37
"2007",32.6302432432432,19.8677297297297,0.627108108108108,7.89667567567568,37
"2008",32.456972972973,19.8949459459459,0.509864864864865,7.71162162162162,37
"2009",32.9757297297297,19.744,0.527567567567568,8.23456756756757,37
"2010",33.8334054054054,20.4514864864865,0.540756756756757,8.36924324324324,37
"2011",33.6187027027027,20.4602432432432,0.533972972972973,8.17116216216216,37
"2012",33.3609189189189,20.2487837837838,0.522135135135135,8.03602702702703,37
"2013",33.1488108108108,20.1500540540541,0.502783783783784,7.89489189189189,37
"2014",33.2434324324324,20.4226216216216,0.531432432432432,7.71086486486486,37
"2015",33.2066486486486,20.2812972972973,0.513594594594595,7.79686486486487,37
"2016",32.9875135135135,20.0604054054054,0.537324324324324,7.78202702702703,37
"2017",33.0151621621622,20.3864054054054,0.49127027027027,7.59148648648649,37
"2018",32.729,20.4093783783784,0.506513513513513,7.23924324324324,37
"2019",32.2531621621622,20.4558918918919,0.504297297297297,6.77605405405405,37
