"year","vat_rate_avg","observations"
"1967",10,1
"1968",14.1666666666667,3
"1969",13.122,5
"1970",14.3014285714286,7
"1971",16.08125,8
"1972",16.1133333333333,9
"1973",15.4291666666667,12
"1974",15.2625,12
"1975",15.6269230769231,13
"1976",15.4035714285714,14
"1977",15.682,15
"1978",15.7653333333333,15
"1979",16.2986666666667,15
"1980",16.50375,16
"1981",16.506875,16
"1982",17.256875,16
"1983",17.8270588235294,17
"1984",18.0035294117647,17
"1985",16.8922222222222,18
"1986",16.5266666666667,21
"1987",16.5936363636364,22
"1988",16.6982608695652,23
"1989",16.1691666666667,24
"1990",16.764,25
"1991",16.3692307692308,26
"1992",16.4111111111111,27
"1993",17.6033333333333,30
"1994",17.784375,32
"1995",17.7235294117647,34
"1996",17.7382352941176,34
"1997",17.8264705882353,34
"1998",17.8852941176471,34
"1999",17.9457142857143,35
"2000",17.6972222222222,36
"2001",17.7972222222222,36
"2002",17.9361111111111,36
"2003",17.8805555555556,36
"2004",17.7416666666667,36
"2005",17.8388888888889,36
"2006",17.6444444444444,36
"2007",17.7277777777778,36
"2008",17.6166666666667,36
"2009",17.95,36
"2010",18.4222222222222,36
"2011",18.6694444444444,36
"2012",18.9194444444444,36
"2013",19.0861111111111,36
"2014",19.1805555555556,36
"2015",19.1666666666667,36
"2016",19.1944444444444,36
"2017",19.2777777777778,36
"2018",19.2694444444444,36
"2019",19.325,36
"2020",19.2416666666667,36
