"","category","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","reference"
"223","Higher rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","33","33","33","33","33","33","28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,"223"
"224","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31413",NA,NA,NA,NA,NA,"33604","33970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"224"
"225","Specific Regional rates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"225"
"226","Canary Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"226"
"227","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,"12.0","12.0","12.0","12.0","12.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13","13","13.5","13","13","13","13","13","13","13","13","227"
"228","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33604",NA,NA,NA,NA,"35431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41091",NA,NA,NA,NA,NA,NA,NA,NA,"228"
"229","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,"2.0/4.0/","2.0/4.0/","2.0/4.0/","2.0/4.0/","2.0/4.0/","2.0/4.5/","2.0/4.5/","2.0/4.5/","2.0/4.5/","2.0/5.0/9.0","2.0/5.0/9.0","2.0/5.0/9.0","2.0/5.0/9.0","2.0/5.0/9.0","2.0/5.0/9.0","2.0/5.0/9.0","2.0/5.0/9.0","2.0/5.0/9.0","2.0/5.0/9.0","2.0/5.0/9.0","2.75/3.0/7.0/9.5","2.75/3.0/7.0/9.5","2.75/3.0/7.0/9.5","2.75/3.0/7.0/9.5","2.75/3.0/7.0/9.5","2.75/3.0/7.0/9.5","2.75/3.0/7.0/9.5","2.75/3.0/7.0/9.5","2.75/3.0/7.0/9.5","229"
"230","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33604",NA,NA,NA,NA,"35431",NA,NA,NA,"36892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41091",NA,NA,NA,NA,NA,NA,NA,NA,"230"
"231","Ceuta and Melila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231"
"232","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","232"
